"street_block","street_use","neighbourhood","street_length"
"1900 LAKEWOOD DRIVE","Residential","grandview-woodland",41.9522726073738
"4400 GRANVILLE ST","Arterial","shaughnessy",117.598158386591
"400 SKEENA ST","Residential","hastings-sunrise",55.2900508672324
"400 KOOTENAY ST","Residential","hastings-sunrise",55.3290381805994
"300 BOUNDARY ROAD","Secondary Arterial","hastings-sunrise",50.306796091879
"0 KOOTENAY ST","Residential","hastings-sunrise",50.5089947717283
"3600 E 46TH AV","Residential","killarney",6.02215351928416
"2800 FRANKLIN ST","Residential","hastings-sunrise",135.78312197386
"1000 CONNAUGHT DRIVE","Residential","shaughnessy",65.0777955808477
"1000 DEVONSHIRE CRESCENT","Residential","shaughnessy",49.5922898951014
"1000 DAVIE ST","Arterial","west end",206.184035876344
"700 ROBSON ST","Arterial","downtown",48.0113281860083
"400 DUNSMUIR ST","Arterial","downtown",49.686864149762
"300 DUNSMUIR ST","Arterial","downtown",49.6668538671489
"1000 BURRARD ST","Arterial","west end",55.1922380862095
"1000 BURRARD ST","Arterial","west end",54.6159310475882
"100 E 37TH AV","Residential","riley park",47.6805688918487
"5100 QUEBEC ST","Residential","riley park",50.2711737381733
"100 E 32ND AV","Residential","riley park",43.8172928992326
"4900-5000 QUEBEC ST","Residential","riley park",161.00879285404
"0 E 33RD AV","Secondary Arterial","riley park",46.6378364096881
"5300 PRINCE EDWARD ST","Residential","riley park",50.3657542595531
"400-600 E 37TH AV","Residential","riley park",433.563963154955
"400 E 36TH AV","Residential","riley park",47.099806252481
"4000 SOPHIA ST","Residential","riley park",65.5870095822019
"4000 ST. GEORGE ST","Residential","riley park",64.5741072109493
"200 E KING EDWARD AV","Arterial","riley park",42.3206643628371
"4300 ONTARIO ST","Residential","riley park",51.2325432724806
"4300 QUEBEC ST","Residential","riley park",40.7167780668047
"4100 QUEBEC ST","Residential","riley park",39.3822258635653
"4200 MAIN ST","Arterial","riley park",39.9330430232893
"2100 W 4TH AV","Arterial","kitsilano",172.415179219578
"1500 HARO ST","Residential","west end",120.997303428743
"1600 ROBSON ST","Arterial","west end",160.756335127725
"2400 W 39TH AV","Residential","arbutus-ridge",51.2010747242929
"2500 W 43RD AV","Residential","kerrisdale",51.3628533170657
