"species","arbutus-ridge","downtown","dunbar-southlands","fairview","grandview-woodland","hastings-sunrise","kensington-cedar cottage","kerrisdale","killarney","kitsilano","marpole","mount pleasant","oakridge","renfrew-collingwood","riley park","shaughnessy","south cambie","strathcona","sunset","victoria-fraserview","west end","west point grey"
"ABIES",2,1,11,7,4,4,15,5,4,17,9,3,3,24,4,3,4,2,12,5,0,1
"ACERIFOLIA   X",103,123,168,19,63,70,64,59,57,141,48,31,30,81,34,239,45,40,77,82,21,129
"ACUTISSIMA",5,67,23,0,14,47,81,8,8,22,39,18,10,20,8,19,16,12,45,41,12,10
"ALNIFOLIA",16,3,17,6,7,65,13,3,2,16,11,19,5,46,8,5,0,4,20,1,5,1
"AMERICANA",225,50,428,167,208,175,747,340,206,260,162,146,148,168,251,782,166,135,198,293,50,210
"AQUIFOLIUM",3,0,8,1,7,3,13,13,1,20,5,4,1,12,10,14,9,0,17,5,2,7
"ARIA",19,3,22,0,37,33,64,19,35,12,16,6,85,60,21,29,18,6,49,65,0,5
"ARNOLDIANA X",4,0,1,2,0,0,4,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0
"AUCUPARIA",16,2,33,4,7,166,24,28,2,32,28,28,10,62,16,16,7,5,34,76,8,8
"AVIUM",15,0,77,49,5,24,63,21,62,38,28,11,9,26,20,20,31,4,77,11,17,46
"BABYLONICA",2,0,2,2,0,5,3,9,2,6,2,0,1,5,2,0,0,0,1,3,0,0
"BANKSIANA",1,0,5,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0
"BETULUS",135,289,42,127,394,550,495,84,328,190,319,265,85,455,287,88,72,176,461,238,108,29
"BIGNONIOIDES",2,0,16,3,17,6,1,5,0,189,0,1,0,3,15,21,0,1,0,0,45,54
"BILOBA",5,68,9,5,18,18,9,3,13,3,4,16,0,21,3,8,3,18,4,12,0,3
"BLIREANA",2,0,5,0,1,6,4,4,2,7,3,0,2,1,3,5,4,1,6,0,1,4
"CALLERYANA",96,123,35,62,82,160,134,14,55,95,83,386,33,232,79,20,9,177,198,64,47,36
"CAMPESTRE",120,147,245,81,164,370,332,70,86,124,94,96,90,312,258,141,108,49,262,222,68,36
"CANADENSIS",11,0,13,1,17,41,43,9,38,12,29,20,0,59,39,15,4,36,28,20,13,28
"CAPPADOCICUM",8,21,20,5,30,16,26,28,10,10,22,19,8,18,6,27,14,2,77,24,18,8
"CARNEA   X",3,0,11,3,16,3,41,5,1,9,3,17,1,28,2,66,1,6,5,4,9,11
"CAROLINIANA",14,4,26,5,6,15,75,6,49,0,17,45,1,32,1,1,1,50,47,14,7,3
"CERASIFERA",895,3,1022,134,165,972,543,629,522,439,610,124,659,956,632,632,191,28,927,1242,255,397
"CINEREA",13,0,0,0,1,0,0,0,0,2,0,2,0,1,1,3,0,0,3,1,0,1
"CIRCINATUM",1,0,3,8,1,3,3,1,49,3,0,5,3,1,3,0,3,2,2,1,0,6
"COCCINEA",2,109,9,5,3,11,31,39,1,25,24,28,5,12,8,2,0,6,5,16,0,11
"CONTORTA",1,0,10,9,0,6,1,3,2,6,4,4,2,16,2,10,0,29,3,2,0,4
"CONTROVERSA",13,0,3,0,0,10,5,3,5,0,13,0,0,3,4,4,1,1,0,1,0,1
"CORDATA",47,60,13,87,44,61,108,25,34,59,27,45,10,130,120,49,1,12,128,38,12,35
"CRUS-GALLI",19,0,11,0,8,68,25,3,0,17,9,6,0,29,19,20,4,3,1,9,3,5
"DAWSONIANA",1,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"DECURRENS",1,3,0,0,0,2,3,0,0,5,0,0,2,2,1,6,0,3,0,0,0,1
"DEODARA",10,0,16,8,1,10,9,3,1,31,14,3,16,5,11,14,20,7,18,30,6,11
"DOUGLASII",23,0,0,0,16,2,34,13,7,10,7,6,0,15,14,4,1,5,0,39,1,8
"EUCHLORA   X",55,157,74,98,196,257,321,115,675,428,23,218,38,354,272,72,61,79,311,427,107,85
"EXCELSIOR",45,24,12,23,65,75,190,78,38,48,70,41,58,81,45,30,21,9,76,29,16,50
"FLAVA",2,0,1,0,0,0,0,0,0,2,1,1,0,2,0,0,0,3,0,0,0,2
"FLORIBUNDA",68,4,149,36,89,181,112,121,10,17,107,7,41,257,86,69,65,5,23,98,34,104
"FLORIDA",3,1,5,2,7,17,9,59,4,6,13,1,4,0,1,3,3,2,0,0,2,4
"FREEMANI   X",29,334,93,166,267,315,330,100,276,125,166,317,84,335,172,101,123,56,258,200,239,70
"GERMANICA",6,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0
"GIGANTEUM",15,3,26,1,0,4,2,0,0,13,4,4,5,2,7,11,15,2,0,6,0,14
"GINNALA",5,0,3,1,3,16,97,0,0,2,20,20,18,35,22,1,0,2,4,27,0,0
"GLAUCA",1,0,5,2,3,4,3,0,1,2,0,1,0,1,1,3,0,2,0,0,1,0
"GLYPTOSTROBOIDES",88,0,8,5,3,58,17,11,58,16,11,11,3,8,4,20,31,0,27,19,0,0
"GRANDIFLORA",3,0,0,9,9,0,3,8,0,8,4,2,1,12,12,1,11,2,2,2,3,0
"GRANDIFLORA X",8,0,3,4,10,38,2,6,3,2,19,3,0,14,3,2,0,16,0,0,0,23
"GRANDIS",18,0,2,2,1,5,20,5,0,6,1,3,3,13,4,7,3,1,1,0,0,12
"GRISEUM",52,6,30,2,77,32,42,14,8,5,24,26,2,84,22,7,31,3,18,8,8,10
"HETEROPHYLLA",4,0,8,3,1,10,14,2,2,9,8,1,1,15,7,9,2,3,3,13,0,5
"HIPPOCASTANUM",125,16,270,43,85,93,167,124,3,277,76,221,4,18,61,311,22,11,48,61,80,156
"HOLLANDICA   X",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INVOLUCRATA",1,0,10,3,11,2,12,13,1,1,3,19,8,21,13,18,7,0,9,1,21,3
"JAPONICA",35,41,106,54,149,133,148,72,33,153,95,76,17,141,99,153,43,5,54,54,5,79
"JAPONICUM",101,54,162,34,65,186,114,174,114,72,66,146,206,154,34,103,27,11,102,58,25,91
"KOBUS",146,56,48,13,93,238,254,210,132,289,48,36,147,279,141,118,57,14,42,247,10,67
"KOUSA",23,7,35,12,46,148,41,61,78,39,102,45,44,49,20,21,43,47,20,66,7,80
"LAVALLEI  X",20,29,127,33,18,277,146,8,39,32,49,5,31,134,38,75,26,3,102,75,35,38
"LAWSONIANA",14,4,42,8,5,20,44,19,14,44,20,24,20,14,15,26,20,4,14,17,18,12
"LILIIFLORA",3,0,3,1,0,1,1,0,0,0,0,0,1,0,0,3,0,0,2,0,0,3
"MAACKII",6,0,1,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,1,1,0,0
"MACROCARPA",1,0,30,0,1,2,2,1,0,1,6,0,0,0,5,0,4,0,0,3,0,1
"MACROPHYLLUM",10,1,30,13,2,9,16,81,7,16,17,24,7,6,6,33,2,7,6,8,50,45
"MENZIESII",22,2,50,4,7,28,94,32,39,43,39,11,38,101,31,26,16,6,50,54,0,48
"MERTENSIANA",1,0,0,1,1,0,0,2,0,2,1,0,2,1,0,1,0,0,1,0,0,0
"MORDENSIS",37,5,15,2,41,80,69,20,11,38,21,34,26,96,7,5,33,10,48,48,5,29
"NEGUNDO",4,1,4,0,38,10,8,4,7,10,4,7,8,1,2,10,0,1,38,2,16,8
"NIGRA",30,0,33,28,9,48,28,33,12,22,20,5,17,18,27,4,9,30,11,15,19,23
"NIGRUM",3,0,1,14,2,1,2,21,0,7,0,3,3,4,2,5,1,0,6,0,1,1
"NOOTKATENSIS",4,0,5,0,4,5,6,1,0,21,28,4,37,3,3,3,5,0,5,3,12,12
"NUTTALLII",9,0,37,2,1,14,22,36,80,27,54,1,16,23,22,34,52,0,17,16,0,26
"OCCIDENTALIS",4,0,48,3,4,24,38,2,23,25,9,4,4,63,18,18,0,45,20,24,1,12
"ORIENTALIS",1,1,0,1,0,1,1,0,0,0,4,0,0,1,0,2,0,1,0,0,0,0
"ORNUS",42,18,61,16,61,227,176,17,88,20,90,41,40,83,27,17,18,23,83,142,16,54
"OXYACANTHA",13,0,16,23,18,80,38,29,30,61,36,32,17,59,23,21,10,0,71,69,115,20
"OXYCARPA",146,3,5,25,3,36,124,4,75,31,8,66,32,182,22,4,40,0,42,41,1,18
"PALMATUM",38,6,89,28,66,14,117,8,24,65,55,44,22,152,81,17,13,5,93,38,6,54
